name:en_aa,name:en_var,type_var,2014
Argentina,Score,score,1.242
Argentina,Enabling framework,param,1.171
Argentina,Clean energy policies,ind,0.18
Argentina,Power sector structure,ind,0.155
Argentina,Distributed energy regulatory framework,ind,0.0
Argentina,Clean energy rural electrification,ind,0.04
Argentina,Energy access policies,ind,0.0
Argentina,Policy barriers,ind,0.004
Argentina,Clean energy installed capacity,ind,0.004
Argentina,Growth rate of installed capacity,ind,0.0
Argentina,Clean energy electricity generation,ind,0.003
Argentina,Growth rate of electricity generation,ind,0.0
Argentina,Biofuels production,ind,0.032
Argentina,Growth rate biofuels production,ind,0.0
Argentina,Average electricity spot prices,ind,0.027
Argentina,Average retail electricity prices,ind,0.009
Argentina,Average residential electricity prices,ind,0.0
Argentina,Average commercial electricity prices,ind,0.0
Argentina,Average industrial electricity prices,ind,0.0
Argentina,Average kerosene prices,ind,0.0
Argentina,Average diesel prices,ind,0.0
Argentina,Growth rate of power demand,ind,0.011
Argentina,Electrification rate,ind,0.002
Argentina,Population using solid fuels for cooking,ind,0.0
Argentina,Financing and Investments,param,0.301
Argentina,Clean energy investments,ind,0.006
Argentina,Growth rate of clean energy investments,ind,0.013
Argentina,Asset finance investments,ind,0.0
Argentina,Corporate finance investments,ind,0.0
Argentina,VC/PE investments,ind,0.0
Argentina,"Loans, grants, grant programs",ind,0.002
Argentina,Local investments,ind,0.006
Argentina,Number of Green MFI,ind,0.001
Argentina,Green micro-loans,ind,0.0
Argentina,Green micro-borrowers,ind,0.003
Argentina,Average cost of green micro debt,ind,0.004
Argentina,Average cost of debt,ind,0.032
Argentina,Swap rate,ind,0.024
Argentina,Value chains,param,2.826
Argentina,Financial institutions in clean energy,ind,0.15
Argentina,Value chains by clean energy sector,ind,0.227
Argentina,Distributed clean energy value chains by sector,ind,0.0
Argentina,Clean energy service providers,ind,0.047
Argentina,Distributed clean energy service providers,ind,0.0
Argentina,GHG management,param,1.731
Argentina,Carbon offsets historical activity,ind,0.075
Argentina,CDM risk,ind,0.062
Argentina,Carbon offsets future potential,ind,0.022
Argentina,GHG emissions reduction target,ind,0.0
Argentina,GHG country registry,ind,0.0
Argentina,GHG market-based instruments,ind,0.0
Argentina,PMR & NAMA,ind,0.009
Argentina,Voluntary GHG reporting by corporates,ind,0.007
Argentina,Investor pressure – PRI signatories,ind,0.0
Argentina,Corporate energy efficiency initiatives,ind,0.005
Argentina,Corporate emission reduction policies,ind,0.004
Argentina,Capacity building – env. business training,ind,0.038
Argentina,Capacity building – think tanks,ind,0.038
Barbados,Score,score,0.786
Barbados,Enabling framework,param,0.761
Barbados,Clean energy policies,ind,0.072
Barbados,Power sector structure,ind,0.038
Barbados,Distributed energy regulatory framework,ind,0.0
Barbados,Clean energy rural electrification,ind,0.04
Barbados,Energy access policies,ind,0.0
Barbados,Policy barriers,ind,0.002
Barbados,Clean energy installed capacity,ind,0.0
Barbados,Growth rate of installed capacity,ind,0.0
Barbados,Clean energy electricity generation,ind,0.0
Barbados,Growth rate of electricity generation,ind,0.0
Barbados,Biofuels production,ind,0.0
Barbados,Growth rate biofuels production,ind,0.0
Barbados,Average electricity spot prices,ind,0.0
Barbados,Average retail electricity prices,ind,0.151
Barbados,Average residential electricity prices,ind,0.0
Barbados,Average commercial electricity prices,ind,0.0
Barbados,Average industrial electricity prices,ind,0.0
