name:en_var,type_var,2014
Score,score,1.44806
Enabling framework,param,1.25325
Clean energy policies,ind,0.07384
Power sector structure,ind,0.06694
Distributed energy regulatory framework,ind,0.0
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.0
Policy barriers,ind,0.02914
Clean energy installed capacity,ind,0.08922
Growth rate of installed capacity,ind,1e-05
Clean energy electricity generation,ind,0.06634
Growth rate of electricity generation,ind,0.00228
Biofuels production,ind,0.06843
Growth rate biofuels production,ind,0.0
Average electricity spot prices,ind,0.0
Average retail electricity prices,ind,0.06349
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.0
Average diesel prices,ind,0.0
Growth rate of power demand,ind,0.0
Electrification rate,ind,0.00161
Population using solid fuels for cooking,ind,0.0
Financing and Investments,param,1.05453
Clean energy investments,ind,0.03023
Growth rate of clean energy investments,ind,0.05183
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,0.01178
Local investments,ind,0.15
Number of Green MFI,ind,0.01321
Green micro-loans,ind,0.00069
Green micro-borrowers,ind,0.0011
Average cost of green micro debt,ind,0.00495
Average cost of debt,ind,0.03566
Swap rate,ind,0.0169
Value chains,param,1.78947
Financial institutions in clean energy,ind,0.1125
Value chains by clean energy sector,ind,0.11842
Distributed clean energy value chains by sector,ind,0.0
Clean energy service providers,ind,0.0375
Distributed clean energy service providers,ind,0.0
GHG management,param,2.41318
Carbon offsets historical activity,ind,0.075
CDM risk,ind,0.05
Carbon offsets future potential,ind,0.01198
GHG emissions reduction target,ind,0.09375
GHG country registry,ind,0.0
GHG market-based instruments,ind,0.01875
PMR & NAMA,ind,0.0375
Voluntary GHG reporting by corporates,ind,0.0
Investor pressure – PRI signatories,ind,0.0
Corporate energy efficiency initiatives,ind,0.0
Corporate emission reduction policies,ind,0.0
Capacity building – env. business training,ind,0.0375
Capacity building – think tanks,ind,0.0375
