name:en_var,type_var,2014
Score,score,1.09653
Enabling framework,param,1.32052
Clean energy policies,ind,0.06376
Power sector structure,ind,0.1451
Distributed energy regulatory framework,ind,0.0
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.0
Policy barriers,ind,0.02914
Clean energy installed capacity,ind,0.06467
Growth rate of installed capacity,ind,3e-05
Clean energy electricity generation,ind,0.03671
Growth rate of electricity generation,ind,0.00637
Biofuels production,ind,0.00449
Growth rate biofuels production,ind,0.00776
Average electricity spot prices,ind,0.12002
Average retail electricity prices,ind,0.0
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.0
Average diesel prices,ind,0.0
Growth rate of power demand,ind,0.00819
Electrification rate,ind,0.00195
Population using solid fuels for cooking,ind,0.0
Financing and Investments,param,0.6133
Clean energy investments,ind,0.01151
Growth rate of clean energy investments,ind,0.00336
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,0.0
Local investments,ind,0.0
Number of Green MFI,ind,0.02962
Green micro-loans,ind,0.0
Green micro-borrowers,ind,0.00053
Average cost of green micro debt,ind,0.02121
Average cost of debt,ind,0.03984
Swap rate,ind,0.07792
Value chains,param,1.21711
Financial institutions in clean energy,ind,0.075
Value chains by clean energy sector,ind,0.08882
Distributed clean energy value chains by sector,ind,0.0
Clean energy service providers,ind,0.01875
Distributed clean energy service providers,ind,0.0
GHG management,param,1.44648
Carbon offsets historical activity,ind,0.1125
CDM risk,ind,0.0125
Carbon offsets future potential,ind,0.01697
GHG emissions reduction target,ind,0.0
GHG country registry,ind,0.0
GHG market-based instruments,ind,0.0
PMR & NAMA,ind,0.0
Voluntary GHG reporting by corporates,ind,0.0
Investor pressure – PRI signatories,ind,0.0
Corporate energy efficiency initiatives,ind,0.0
Corporate emission reduction policies,ind,0.0
Capacity building – env. business training,ind,0.0375
Capacity building – think tanks,ind,0.0375
