name:en_var,type_var,2014
Score,score,1.52051
Enabling framework,param,1.20025
Clean energy policies,ind,0.19026
Power sector structure,ind,0.14775
Distributed energy regulatory framework,ind,0.0
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.0
Policy barriers,ind,0.00411
Clean energy installed capacity,ind,0.01881
Growth rate of installed capacity,ind,0.0
Clean energy electricity generation,ind,0.00847
Growth rate of electricity generation,ind,0.00123
Biofuels production,ind,0.00876
Growth rate biofuels production,ind,0.0
Average electricity spot prices,ind,0.0
Average retail electricity prices,ind,0.02906
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.0
Average diesel prices,ind,0.0
Growth rate of power demand,ind,0.0296
Electrification rate,ind,0.00206
Population using solid fuels for cooking,ind,0.0
Financing and Investments,param,0.4423
Clean energy investments,ind,0.00702
Growth rate of clean energy investments,ind,0.01768
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,0.00098
Local investments,ind,0.0
Number of Green MFI,ind,0.00024
Green micro-loans,ind,1e-05
Green micro-borrowers,ind,5e-05
Average cost of green micro debt,ind,0.0135
Average cost of debt,ind,0.04646
Swap rate,ind,0.04675
Value chains,param,3.64474
Financial institutions in clean energy,ind,0.15
Value chains by clean energy sector,ind,0.24671
Distributed clean energy value chains by sector,ind,0.0
Clean energy service providers,ind,0.15
Distributed clean energy service providers,ind,0.0
GHG management,param,2.40676
Carbon offsets historical activity,ind,0.1125
CDM risk,ind,0.0375
Carbon offsets future potential,ind,0.02238
GHG emissions reduction target,ind,0.01875
GHG country registry,ind,0.01125
GHG market-based instruments,ind,0.01875
PMR & NAMA,ind,0.04688
Voluntary GHG reporting by corporates,ind,0.00172
Investor pressure – PRI signatories,ind,0.0046
Corporate energy efficiency initiatives,ind,0.00534
Corporate emission reduction policies,ind,0.00634
Capacity building – env. business training,ind,0.0375
Capacity building – think tanks,ind,0.0375
