name:en_var,type_var,2014
Score,score,1.72572
Enabling framework,param,1.56412
Clean energy policies,ind,0.13895
Power sector structure,ind,0.0635
Distributed energy regulatory framework,ind,0.08
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.07045
Policy barriers,ind,0.01275
Clean energy installed capacity,ind,0.06409
Growth rate of installed capacity,ind,0.0
Clean energy electricity generation,ind,0.04758
Growth rate of electricity generation,ind,0.00371
Biofuels production,ind,0.00053
Growth rate biofuels production,ind,0.0
Average electricity spot prices,ind,0.0
Average retail electricity prices,ind,0.03047
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.0323
Average diesel prices,ind,0.01754
Growth rate of power demand,ind,0.0
Electrification rate,ind,0.00664
Population using solid fuels for cooking,ind,0.01714
Financing and Investments,param,0.96237
Clean energy investments,ind,0.13323
Growth rate of clean energy investments,ind,0.0218
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,0.00266
Local investments,ind,0.05167
Number of Green MFI,ind,0.0
Green micro-loans,ind,5e-05
Green micro-borrowers,ind,0.00093
Average cost of green micro debt,ind,0.00584
Average cost of debt,ind,0.03129
Swap rate,ind,0.04125
Value chains,param,3.6656
Financial institutions in clean energy,ind,0.09
Value chains by clean energy sector,ind,0.07895
Distributed clean energy value chains by sector,ind,0.13125
Clean energy service providers,ind,0.1425
Distributed clean energy service providers,ind,0.10714
GHG management,param,1.7435
Carbon offsets historical activity,ind,0.15
CDM risk,ind,0.0375
Carbon offsets future potential,ind,0.02307
GHG emissions reduction target,ind,0.0
GHG country registry,ind,0.0
GHG market-based instruments,ind,0.0
PMR & NAMA,ind,0.00938
Voluntary GHG reporting by corporates,ind,0.0
Investor pressure – PRI signatories,ind,0.0
Corporate energy efficiency initiatives,ind,0.00408
Corporate emission reduction policies,ind,0.0
Capacity building – env. business training,ind,0.0375
Capacity building – think tanks,ind,0.0
