name:en_var,type_var,2014
Score,score,1.23219
Enabling framework,param,1.18843
Clean energy policies,ind,0.09628
Power sector structure,ind,0.11667
Distributed energy regulatory framework,ind,0.07111
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.05924
Policy barriers,ind,0.00464
Clean energy installed capacity,ind,0.00087
Growth rate of installed capacity,ind,0.0
Clean energy electricity generation,ind,0.00035
Growth rate of electricity generation,ind,0.0
Biofuels production,ind,0.00043
Growth rate biofuels production,ind,0.0
Average electricity spot prices,ind,0.01487
Average retail electricity prices,ind,0.01397
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.02323
Average diesel prices,ind,0.01502
Growth rate of power demand,ind,0.0
Electrification rate,ind,0.0034
Population using solid fuels for cooking,ind,0.01531
Financing and Investments,param,0.38212
Clean energy investments,ind,0.00063
Growth rate of clean energy investments,ind,0.0
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,0.00283
Local investments,ind,0.0
Number of Green MFI,ind,0.0
Green micro-loans,ind,0.0
Green micro-borrowers,ind,6e-05
Average cost of green micro debt,ind,0.0495
Average cost of debt,ind,0.03239
Swap rate,ind,0.02922
Value chains,param,3.29511
Financial institutions in clean energy,ind,0.12
Value chains by clean energy sector,ind,0.07105
Distributed clean energy value chains by sector,ind,0.1125
Clean energy service providers,ind,0.105
Distributed clean energy service providers,ind,0.08571
GHG management,param,0.98614
Carbon offsets historical activity,ind,0.075
CDM risk,ind,0.0375
Carbon offsets future potential,ind,0.02482
GHG emissions reduction target,ind,0.0
GHG country registry,ind,0.0
GHG market-based instruments,ind,0.0
PMR & NAMA,ind,0.0
Voluntary GHG reporting by corporates,ind,0.0
Investor pressure – PRI signatories,ind,0.00827
Corporate energy efficiency initiatives,ind,0.00111
Corporate emission reduction policies,ind,0.00122
Capacity building – env. business training,ind,0.0
Capacity building – think tanks,ind,0.0
