name:en_var,type_var,2014
Score,score,1.3113
Enabling framework,param,1.39235
Clean energy policies,ind,0.08541
Power sector structure,ind,0.04458
Distributed energy regulatory framework,ind,0.04667
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.05631
Policy barriers,ind,0.00246
Clean energy installed capacity,ind,0.11577
Growth rate of installed capacity,ind,0.00013
Clean energy electricity generation,ind,0.07361
Growth rate of electricity generation,ind,0.00613
Biofuels production,ind,0.0
Growth rate biofuels production,ind,0.0
Average electricity spot prices,ind,0.0
Average retail electricity prices,ind,0.0219
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.02722
Average diesel prices,ind,0.0016
Growth rate of power demand,ind,0.01631
Electrification rate,ind,0.00253
Population using solid fuels for cooking,ind,0.01633
Financing and Investments,param,0.55561
Clean energy investments,ind,0.01772
Growth rate of clean energy investments,ind,0.0
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,0.01353
Local investments,ind,0.0
Number of Green MFI,ind,0.00656
Green micro-loans,ind,7e-05
Green micro-borrowers,ind,0.00818
Average cost of green micro debt,ind,0.00909
Average cost of debt,ind,0.06771
Swap rate,ind,0.04383
Value chains,param,2.65301
Financial institutions in clean energy,ind,0.12
Value chains by clean energy sector,ind,0.01974
Distributed clean energy value chains by sector,ind,0.1125
Clean energy service providers,ind,0.06
Distributed clean energy service providers,ind,0.08571
GHG management,param,1.26486
Carbon offsets historical activity,ind,0.075
CDM risk,ind,0.025
Carbon offsets future potential,ind,0.01473
GHG emissions reduction target,ind,0.0
GHG country registry,ind,0.0
GHG market-based instruments,ind,0.0
PMR & NAMA,ind,0.0
Voluntary GHG reporting by corporates,ind,0.0
Investor pressure – PRI signatories,ind,0.0
Corporate energy efficiency initiatives,ind,0.0
Corporate emission reduction policies,ind,0.0
Capacity building – env. business training,ind,0.0375
Capacity building – think tanks,ind,0.0375
