name:en_var,type_var,2014
Score,score,1.49999
Enabling framework,param,1.39842
Clean energy policies,ind,0.2055
Power sector structure,ind,0.15546
Distributed energy regulatory framework,ind,0.0
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.0
Policy barriers,ind,0.04
Clean energy installed capacity,ind,0.02241
Growth rate of installed capacity,ind,2e-05
Clean energy electricity generation,ind,0.01428
Growth rate of electricity generation,ind,0.01634
Biofuels production,ind,0.01134
Growth rate biofuels production,ind,0.0
Average electricity spot prices,ind,0.01018
Average retail electricity prices,ind,0.02001
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.0
Average diesel prices,ind,0.0
Growth rate of power demand,ind,0.02206
Electrification rate,ind,0.00178
Population using solid fuels for cooking,ind,0.0
Financing and Investments,param,0.88257
Clean energy investments,ind,0.01779
Growth rate of clean energy investments,ind,0.06906
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,3e-05
Local investments,ind,0.02135
Number of Green MFI,ind,0.03486
Green micro-loans,ind,0.00016
Green micro-borrowers,ind,0.00029
Average cost of green micro debt,ind,0.00371
Average cost of debt,ind,0.02986
Swap rate,ind,0.08766
Value chains,param,2.04605
Financial institutions in clean energy,ind,0.075
Value chains by clean energy sector,ind,0.13816
Distributed clean energy value chains by sector,ind,0.0
Clean energy service providers,ind,0.09375
Distributed clean energy service providers,ind,0.0
GHG management,param,2.45962
Carbon offsets historical activity,ind,0.1125
CDM risk,ind,0.075
Carbon offsets future potential,ind,0.01811
GHG emissions reduction target,ind,0.05625
GHG country registry,ind,0.0
GHG market-based instruments,ind,0.0
PMR & NAMA,ind,0.00938
Voluntary GHG reporting by corporates,ind,0.01697
Investor pressure – PRI signatories,ind,0.00216
Corporate energy efficiency initiatives,ind,0.00231
Corporate emission reduction policies,ind,0.00127
Capacity building – env. business training,ind,0.0375
Capacity building – think tanks,ind,0.0375
