name:en_var,type_var,2014
Score,score,1.154
Enabling framework,param,1.614
Clean energy policies,ind,0.089
Power sector structure,ind,0.053
Distributed energy regulatory framework,ind,0.044
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.056
Policy barriers,ind,0.02
Clean energy installed capacity,ind,0.144
Growth rate of installed capacity,ind,0.0
Clean energy electricity generation,ind,0.083
Growth rate of electricity generation,ind,0.0
Biofuels production,ind,0.0
Growth rate biofuels production,ind,0.0
Average electricity spot prices,ind,0.0
Average retail electricity prices,ind,0.053
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.0
Average diesel prices,ind,0.023
Growth rate of power demand,ind,0.009
Electrification rate,ind,0.011
Population using solid fuels for cooking,ind,0.02
Financing and Investments,param,0.434
Clean energy investments,ind,0.051
Growth rate of clean energy investments,ind,0.026
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,0.0
Local investments,ind,0.0
Number of Green MFI,ind,0.0
Green micro-loans,ind,0.0
Green micro-borrowers,ind,0.0
Average cost of green micro debt,ind,0.0
Average cost of debt,ind,0.032
Swap rate,ind,0.02
Value chains,param,1.855
Financial institutions in clean energy,ind,0.0
Value chains by clean energy sector,ind,0.047
Distributed clean energy value chains by sector,ind,0.094
Clean energy service providers,ind,0.03
Distributed clean energy service providers,ind,0.107
GHG management,param,0.667
Carbon offsets historical activity,ind,0.038
CDM risk,ind,0.062
Carbon offsets future potential,ind,0.0
GHG emissions reduction target,ind,0.0
GHG country registry,ind,0.0
GHG market-based instruments,ind,0.0
PMR & NAMA,ind,0.0
Voluntary GHG reporting by corporates,ind,0.0
Investor pressure – PRI signatories,ind,0.0
Corporate energy efficiency initiatives,ind,0.0
Corporate emission reduction policies,ind,0.0
Capacity building – env. business training,ind,0.0
Capacity building – think tanks,ind,0.0
Global rank,rank,24.0
Regional rank,rank,7.0
