name:en_var,type_var,2014
Score,score,1.51624
Enabling framework,param,1.32129
Clean energy policies,ind,0.0633
Power sector structure,ind,0.06575
Distributed energy regulatory framework,ind,0.06889
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.05477
Policy barriers,ind,0.0204
Clean energy installed capacity,ind,0.04871
Growth rate of installed capacity,ind,0.00054
Clean energy electricity generation,ind,0.03979
Growth rate of electricity generation,ind,0.0
Biofuels production,ind,0.0
Growth rate biofuels production,ind,0.0
Average electricity spot prices,ind,0.0
Average retail electricity prices,ind,0.04777
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.02553
Average diesel prices,ind,0.01957
Growth rate of power demand,ind,0.0
Electrification rate,ind,0.01371
Population using solid fuels for cooking,ind,0.0198
Financing and Investments,param,0.48756
Clean energy investments,ind,0.01708
Growth rate of clean energy investments,ind,0.0
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,0.01805
Local investments,ind,0.0
Number of Green MFI,ind,0.00175
Green micro-loans,ind,2e-05
Green micro-borrowers,ind,0.0585
Average cost of green micro debt,ind,0.00571
Average cost of debt,ind,0.02325
Swap rate,ind,0.02191
Value chains,param,3.92556
Financial institutions in clean energy,ind,0.12
Value chains by clean energy sector,ind,0.05526
Distributed clean energy value chains by sector,ind,0.15
Clean energy service providers,ind,0.135
Distributed clean energy service providers,ind,0.12857
GHG management,param,1.68412
Carbon offsets historical activity,ind,0.1125
CDM risk,ind,0.0375
Carbon offsets future potential,ind,0.01824
GHG emissions reduction target,ind,0.0
GHG country registry,ind,0.0
GHG market-based instruments,ind,0.0
PMR & NAMA,ind,0.00938
Voluntary GHG reporting by corporates,ind,0.0
Investor pressure – PRI signatories,ind,0.0
Corporate energy efficiency initiatives,ind,0.0
Corporate emission reduction policies,ind,0.0
Capacity building – env. business training,ind,0.0375
Capacity building – think tanks,ind,0.0375
