name:en_var,type_var,2014
Score,score,1.75345
Enabling framework,param,1.43299
Clean energy policies,ind,0.19868
Power sector structure,ind,0.09958
Distributed energy regulatory framework,ind,0.0
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.0
Policy barriers,ind,0.00602
Clean energy installed capacity,ind,0.02857
Growth rate of installed capacity,ind,3e-05
Clean energy electricity generation,ind,0.01198
Growth rate of electricity generation,ind,0.03424
Biofuels production,ind,0.0
Growth rate biofuels production,ind,0.0
Average electricity spot prices,ind,0.06486
Average retail electricity prices,ind,0.04615
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.0
Average diesel prices,ind,0.0
Growth rate of power demand,ind,0.04147
Electrification rate,ind,0.00162
Population using solid fuels for cooking,ind,0.0
Financing and Investments,param,2.02728
Clean energy investments,ind,0.04166
Growth rate of clean energy investments,ind,0.3375
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,0.00917
Local investments,ind,0.13153
Number of Green MFI,ind,0.00309
Green micro-loans,ind,0.0
Green micro-borrowers,ind,4e-05
Average cost of green micro debt,ind,0.00371
Average cost of debt,ind,0.04356
Swap rate,ind,0.03791
Value chains,param,1.16118
Financial institutions in clean energy,ind,0.0375
Value chains by clean energy sector,ind,0.10855
Distributed clean energy value chains by sector,ind,0.0
Clean energy service providers,ind,0.02812
Distributed clean energy service providers,ind,0.0
GHG management,param,2.65259
Carbon offsets historical activity,ind,0.15
CDM risk,ind,0.075
Carbon offsets future potential,ind,0.03678
GHG emissions reduction target,ind,0.0
GHG country registry,ind,0.0
GHG market-based instruments,ind,0.0
PMR & NAMA,ind,0.02812
Voluntary GHG reporting by corporates,ind,0.0
Investor pressure – PRI signatories,ind,0.03298
Corporate energy efficiency initiatives,ind,0.0
Corporate emission reduction policies,ind,0.0
Capacity building – env. business training,ind,0.0375
Capacity building – think tanks,ind,0.0375
