name:en_var,type_var,2014
Score,score,1.92437
Enabling framework,param,0.99183
Clean energy policies,ind,0.24636
Power sector structure,ind,0.06318
Distributed energy regulatory framework,ind,0.0
Clean energy rural electrification,ind,0.04
Energy access policies,ind,0.0
Policy barriers,ind,0.00971
Clean energy installed capacity,ind,0.00337
Growth rate of installed capacity,ind,0.00065
Clean energy electricity generation,ind,0.0011
Growth rate of electricity generation,ind,0.00185
Biofuels production,ind,0.0
Growth rate biofuels production,ind,0.0
Average electricity spot prices,ind,0.0
Average retail electricity prices,ind,0.02863
Average residential electricity prices,ind,0.0
Average commercial electricity prices,ind,0.0
Average industrial electricity prices,ind,0.0
Average kerosene prices,ind,0.0
Average diesel prices,ind,0.0
Growth rate of power demand,ind,0.0
Electrification rate,ind,0.00188
Population using solid fuels for cooking,ind,0.0
Financing and Investments,param,1.53131
Clean energy investments,ind,0.03203
Growth rate of clean energy investments,ind,0.18426
Asset finance investments,ind,0.0
Corporate finance investments,ind,0.0
VC/PE investments,ind,0.0
"Loans, grants, grant programs",ind,0.00038
Local investments,ind,0.13498
Number of Green MFI,ind,0.0
Green micro-loans,ind,0.0
Green micro-borrowers,ind,0.0
Average cost of green micro debt,ind,0.0
Average cost of debt,ind,0.06372
Swap rate,ind,0.04402
Value chains,param,4.34211
Financial institutions in clean energy,ind,0.1875
Value chains by clean energy sector,ind,0.27632
Distributed clean energy value chains by sector,ind,0.0
Clean energy service providers,ind,0.1875
Distributed clean energy service providers,ind,0.0
GHG management,param,2.77954
Carbon offsets historical activity,ind,0.075
CDM risk,ind,0.0125
Carbon offsets future potential,ind,0.01937
GHG emissions reduction target,ind,0.05625
GHG country registry,ind,0.05625
GHG market-based instruments,ind,0.0
PMR & NAMA,ind,0.04688
Voluntary GHG reporting by corporates,ind,0.00181
Investor pressure – PRI signatories,ind,0.03626
Corporate energy efficiency initiatives,ind,0.01834
Corporate emission reduction policies,ind,0.01927
Capacity building – env. business training,ind,0.0375
Capacity building – think tanks,ind,0.0375
