country,rank,overall_score,enabling_framework,financing_investment,value_chains,ghg_management
China,1,2.2299094753,1.5596042593,1.2919793207,5,3.1231598358
Brazil,2,2.1333180265,2.1276400035,0.5769315821,4.1578947368,3.2366555996
India,3,1.851052617,1.4339725725,0.8450684536,4.0986842105,2.6819670062
South Africa,4,1.8412435934,0.991129527,1.4854133745,3.8815789474,2.7795395208
Chile,5,1.7884411979,1.4191346506,0.7911847385,3.1842105263,3.4791492663
Uruguay,6,1.7508915573,1.5033670176,2.0272791377,1.1611842105,2.6525854478
Kenya,7,1.6882288788,1.4593710607,0.962366133,3.6656015038,1.7309453385
Indonesia,8,1.6062934835,1.1963606869,0.4422983818,4.2269736842,2.4067576101
Mexico,9,1.5663511967,0.8885803645,1.1163317702,2.8157894737,3.0243406586
Peru,10,1.5082747694,1.4158401348,0.8825689763,2.0460526316,2.4596154767
Costa Rica,11,1.5002474531,1.3777612148,1.0545343989,1.7894736842,2.4131795044
Uganda,12,1.4822076565,1.307144147,0.4875600461,3.7255639098,1.6841174907
Vietnam,13,1.447869329,1.3166725422,0.4451212309,3.2532894737,1.8701760008
Nicaragua,14,1.3866050432,1.5559958511,1.1628093928,1.1578947368,1.6111978291
Pakistan,15,1.3848226676,1.2106752176,0.4526946835,4.2887218045,0.809572699
Bangladesh,16,1.3531025488,1.2094294395,0.9636273049,3.2110902256,0.6571936512
Colombia,17,1.3284834265,0.9780136048,0.6560877757,1.9868421053,2.949502241
Nepal,18,1.3270546083,1.3372576566,0.5556100024,2.8780075188,1.2648583105
Argentina,19,1.2420546241,1.190097826,0.3013736396,2.8256578947,2.0368426675
Nigeria,20,1.2321208861,1.171048754,0.3821179198,3.295112782,0.986135733
Tanzania,21,1.2080385921,1.2699538051,0.3440071746,3.0063909774,0.9726418069
Ethiopia,22,1.1870940564,1.2156310841,0.6160269056,2.4740601504,0.9661635233
Dominican Republic,23,1.1577501195,1.5344124167,0.3075170456,0.8947368421,2.1167967524
Rwanda,24,1.1539504261,1.6135838727,0.4341853293,1.855075188,0.6666666667
Ghana,25,1.1510030562,1.1703801182,0.1666469092,2.4439849624,1.7434979864
Honduras,26,1.1444595736,1.2637415905,0.640619628,1.4177631579,1.5607505024
El Salvador,27,1.116904954,1.3131013878,1.1235986588,0.8355263158,0.8521826137
Panama,28,1.1119485962,1.3789545187,0.8912002472,1.0197368421,0.912425263
Guatemala,29,1.1063866377,1.3837228879,0.6133039055,1.2171052632,1.4464801183
Senegal,30,1.0597572924,1.1322584325,0.7232120875,2.1582706767,0.4409979443
Zambia,31,1.0233291002,0.9094996098,0.3688342204,2.3189849624,1.3402083056
Myanmar,32,1.0043800658,0.6471908308,0.2620079754,3.7353383459,0.710670593
Belize,33,0.9766757421,1.3044489621,0.6741161242,0.6315789474,1.0528298523
Sri Lanka,34,0.9623381115,1.0696977447,0.2529209891,2.9802631579,0.0769549543
Ecuador,35,0.958729482,0.9990979121,0.71019583,0.7203947368,1.5864823844
Bolivia,36,0.9146391947,0.6545050987,1.0972806465,0.8256578947,1.332028514
Malawi,37,0.910727532,1.1882455823,0.1324466526,1.6182330827,1.0147962892
Liberia,38,0.9016057865,1.3917488262,0.5205874884,1.029887218,0.1834867195
Jamaica,39,0.801662441,0.9963226049,0.2424773078,1.0263157895,1.1762855885
Mozambique,40,0.7940018847,0.8214941604,0.3116328366,1.6601503759,0.8192787543
Barbados,41,0.7855590126,0.7612706093,0.8798183524,0.8848684211,0.5625
Democratic Republic of Congo,42,0.7574491606,0.7966621042,0.3514878784,1.3172932331,0.9049598027
Zimbabwe,43,0.7546975407,0.8457379291,0.271581506,1.2654135338,0.9674392478
Sierra Leone,44,0.7355504544,0.9659321616,0.5750084292,0.9127819549,0.2650517849
Haiti,45,0.7238598161,0.9076324095,0.3788629261,1.5763157895,0.0713373733
Cameroon,46,0.693107773,0.7231939119,0.4465788245,0.9146616541,0.884382085
Cote d'Ivoire,47,0.6864773398,1.059710689,0.0451427873,1.2417293233,0.4186055299
Botswana,48,0.6139241899,0.7486929269,0.3020063552,1.0990601504,0.3932406001
Guyana,49,0.6001463605,0.5970788967,0.818537387,0.0657894737,0.7059010979
Paraguay,50,0.5902564505,0.6676118963,0.3468875542,0.1973684211,1.2636010834
Trinidad & Tobago,51,0.5385173502,0.2404658248,0.8655454943,0.6315789474,0.5862035323
Bahamas,52,0.5270392334,0.46559918,0.6398362573,0.5756578947,0.4166666667
Tajikistan,53,0.4807988459,0.4504064676,0.2198338887,0.7631578947,0.8014160534
Venezuela,54,0.3226619732,0.1068109622,0.1904479187,0.8881578947,0.5971968564
Suriname,55,0.3031108299,0.2089846005,0.4661119738,0.1973684211,0.3338542295
