name:en_aa,Enabling framework,Financing and Investments,GHG management,Score,Value chains
Botswana,0.77,0.302,0.393,0.614,1.099
Cameroon,0.734,0.275,0.884,0.693,0.915
Côte d'Ivoire,1.061,0.045,0.419,0.686,1.242
DR Congo,0.799,0.664,0.905,0.757,1.317
Ethiopia,1.296,0.635,0.966,1.187,2.629
Ghana,1.171,0.167,1.773,1.151,2.444
Kenya,1.564,0.962,1.743,1.688,3.666
Liberia,1.439,0.517,0.183,0.902,1.03
Malawi,1.207,0.123,1.015,0.911,1.618
Mozambique,0.844,0.312,0.819,0.794,1.561
Nigeria,1.188,0.382,0.986,1.232,3.295
Rwanda,1.721,0.434,0.667,1.154,1.855
Senegal,1.153,0.139,0.441,1.06,2.158
Sierra Leone,0.984,0.575,0.265,0.736,0.913
South africa,0.992,1.531,2.78,1.841,4.342
Tanzania,1.317,0.344,0.973,1.208,3.006
Uganda,1.321,0.488,1.684,1.482,3.926
Zambia,0.986,0.369,1.34,1.023,2.395
Zimbabwe,0.869,0.272,0.967,0.755,1.265
