name:en_aa,Enabling framework,Financing and Investments,GHG management,Score,Value chains
Andhra Pradesh,1.227,0.573,1.182,1.176,2.007
Bangladesh,1.23,0.964,0.657,1.353,2.571
China,1.568,1.292,3.123,2.23,5.0
Fujian,1.388,0.762,1.287,1.263,1.941
Gansu,1.511,2.044,2.204,1.637,0.641
Guangdong,1.399,0.79,2.204,1.488,2.428
Gujarat,1.401,0.675,1.265,1.292,2.141
Hebei,1.445,0.894,2.037,1.399,1.678
Heilongjiang,1.32,0.903,1.704,1.252,1.349
Hubei,1.27,0.883,1.62,1.226,1.414
India,1.459,0.845,2.682,1.851,4.099
Indonesia,1.2,0.442,2.407,1.606,3.645
Jiangsu,1.419,1.145,2.12,1.536,2.056
Jilin,1.289,0.825,2.204,1.244,1.036
Karnataka,1.914,0.906,1.599,1.575,1.941
Madhya Pradesh,1.295,0.822,0.765,0.984,0.72
Maharashtra,1.514,0.63,1.182,1.286,2.069
Myanmar,0.647,0.262,0.711,1.004,2.221
Nei Mongol,1.351,1.294,2.454,1.495,1.359
Nepal,1.392,0.556,1.265,1.327,2.653
Pakistan,1.211,0.453,0.81,1.385,4.131
Punjab,1.245,0.616,1.349,1.037,1.036
Qinghai,1.559,2.13,1.87,1.674,0.905
Rajasthan,1.371,1.15,1.432,1.263,1.033
Shandong,1.465,0.837,1.704,1.429,2.26
Sichuan,1.267,0.935,2.12,1.375,1.819
Sri Lanka,1.041,0.368,0.077,0.962,2.174
Tajikistan,0.451,0.22,0.801,0.481,0.763
Tamil Nadu,1.497,0.766,1.682,1.432,2.401
Uttar Pradesh,1.164,0.401,1.099,0.956,1.368
Vietnam,1.326,0.445,1.998,1.448,2.99
West Bengal,1.314,0.333,0.849,1.043,1.941
Xinjiang,1.61,1.635,2.454,1.694,1.299
Xizang,1.394,1.015,0.954,1.065,0.444
Yunnan,1.352,1.042,2.454,1.41,1.299
