name:en_aa,Enabling framework,Financing and Investments,GHG management,Score,Value chains
Argentina,1.171,0.301,1.731,1.242,2.826
Bahamas,0.466,0.64,0.417,0.527,0.576
Barbados,0.761,0.88,0.562,0.786,0.885
Belize,1.308,0.674,1.053,0.977,0.632
Bolivia,0.649,1.097,1.332,0.915,0.826
Brazil,2.136,0.574,3.237,2.133,4.408
Chile,1.384,0.791,3.479,1.788,3.184
Colombia,0.981,0.656,2.95,1.328,1.987
Costa Rica,1.253,1.055,2.413,1.5,1.789
Dominican Republic,1.54,0.308,2.117,1.158,0.895
Ecuador,1.004,0.71,1.586,0.959,0.72
El Salvador,1.33,1.124,0.852,1.117,0.836
Guatemala,1.321,0.613,1.446,1.106,1.217
Guyana,0.602,0.819,0.706,0.6,0.066
Haiti,0.921,0.379,0.071,0.724,1.576
Honduras,1.29,0.641,1.561,1.144,1.418
Jamaica,1.0,0.242,1.176,0.802,1.026
Mexico,0.898,1.116,3.024,1.566,2.816
Nicaragua,1.377,1.163,1.611,1.387,1.158
Panama,1.392,0.891,0.912,1.112,1.02
Paraguay,0.668,0.347,1.264,0.59,0.197
Peru,1.398,0.883,2.46,1.508,2.046
Suriname,0.218,0.466,0.334,0.303,0.197
Trinidad and Tobago,0.24,0.866,0.586,0.539,0.632
Uruguay,1.433,2.027,2.653,1.751,1.161
Venezuela,0.107,0.19,0.597,0.323,0.888
