name:es_aa,Cadenas de valor,Es...Global rank,Es...Regional rank,Es...State rank,Financiamiento y Inversión,Gestión de GEI,Marco Propicio,Puntaje
Andhra Pradesh,2.007,,,6.0,0.696,1.182,1.223,1.176
Argentina,2.826,19.0,9.0,,0.301,2.037,1.19,1.242
Bahamas,0.576,52.0,24.0,,0.64,0.417,0.466,0.527
Banglades,3.211,16.0,6.0,,0.964,0.657,1.209,1.353
Barbados,0.885,41.0,19.0,,0.88,0.562,0.761,0.786
Belice,0.632,33.0,15.0,,0.674,1.053,1.304,0.977
Birmania,3.735,32.0,8.0,,0.262,0.711,0.647,1.004
Bolivia,0.826,36.0,17.0,,1.097,1.332,0.655,0.915
Botsuana,1.099,48.0,19.0,,0.302,0.393,0.749,0.614
Brasil,4.158,2.0,1.0,,0.577,3.237,2.128,2.133
Camerun,0.915,46.0,17.0,,0.447,0.884,0.723,0.693
Chile,3.184,5.0,2.0,,0.791,3.479,1.419,1.788
China,5.0,1.0,1.0,,1.292,3.123,1.56,2.23
Colombia,1.987,17.0,8.0,,0.656,2.95,0.978,1.328
Costa Rica,1.789,11.0,6.0,,1.055,2.413,1.378,1.5
Costa de Marfil,1.242,47.0,18.0,,0.045,0.419,1.06,0.686
Ecuador,0.72,35.0,16.0,,0.71,1.586,0.999,0.959
El Salvador,0.836,27.0,12.0,,1.124,0.852,1.313,1.117
Etiopia,2.474,22.0,6.0,,0.616,0.966,1.216,1.187
Fujian,1.941,,,11.0,0.762,1.287,1.353,1.263
Gansu,0.641,,,3.0,2.044,2.204,1.473,1.637
Ghana,2.444,25.0,8.0,,0.167,1.743,1.17,1.151
Guangdong,2.428,,,6.0,0.79,2.204,1.387,1.488
Guatemala,1.217,29.0,14.0,,0.613,1.446,1.384,1.106
Gujarat,2.141,,,3.0,0.749,1.265,1.391,1.292
Guyana,0.066,49.0,21.0,,0.819,0.706,0.597,0.6
Haiti,1.576,45.0,20.0,,0.379,0.071,0.908,0.724
Hebei,1.678,,,9.0,0.894,1.998,1.427,1.399
Heilongjiang,1.349,,,12.0,0.903,1.704,1.307,1.252
Honduras,1.418,26.0,11.0,,0.641,1.561,1.264,1.144
Hubei,1.414,,,14.0,0.883,1.62,1.266,1.226
India,4.099,3.0,2.0,,0.845,2.682,1.434,1.851
Indonesia,4.227,8.0,3.0,,0.442,2.407,1.196,1.606
Jamaica,1.026,39.0,18.0,,0.242,1.176,0.996,0.802
Jiangsu,2.056,,,4.0,1.143,2.12,1.409,1.536
Jilin,1.036,,,13.0,0.825,2.204,1.277,1.244
Karnataka,1.941,,,1.0,0.954,1.599,1.895,1.575
Kenia,3.666,7.0,2.0,,0.962,1.731,1.459,1.688
Liberia,1.03,38.0,12.0,,0.521,0.183,1.392,0.902
Madhya Pradesh,0.72,,,9.0,0.816,0.765,1.291,0.984
Maharashtra,2.069,,,4.0,0.656,1.182,1.493,1.286
Malaui,1.618,37.0,11.0,,0.132,1.015,1.188,0.911
Mexico,2.816,9.0,4.0,,1.116,3.024,0.889,1.566
Mozambique,1.66,40.0,13.0,,0.312,0.819,0.821,0.794
Nei Mongol,1.359,,,5.0,1.294,2.454,1.317,1.495
Nepal,2.878,18.0,7.0,,0.556,1.265,1.337,1.327
Nicaragua,1.158,14.0,7.0,,1.163,1.611,1.556,1.387
Nigeria,3.295,20.0,4.0,,0.382,0.986,1.171,1.232
Pakistan,4.289,15.0,5.0,,0.453,0.81,1.211,1.385
Panama,1.02,28.0,13.0,,0.891,0.912,1.379,1.112
Paraguay,0.197,50.0,22.0,,0.347,1.264,0.668,0.59
Peru,2.046,10.0,5.0,,0.883,2.46,1.416,1.508
Punjab,1.036,,,8.0,0.616,1.349,1.237,1.037
Qinghai,0.905,,,2.0,2.13,1.773,1.546,1.674
RD Congo,1.317,42.0,14.0,,0.351,0.905,0.797,0.757
Rajasthan,1.033,,,5.0,1.173,1.432,1.347,1.263
Republica Dominicana,0.895,23.0,10.0,,0.308,2.117,1.534,1.158
Ruanda,1.855,24.0,7.0,,0.434,0.667,1.614,1.154
Senegal,2.158,30.0,9.0,,0.723,0.441,1.132,1.06
Shandong,2.26,,,7.0,0.837,1.704,1.451,1.429
Sichuan,1.819,,,10.0,0.935,2.12,1.258,1.375
Sierra Leona,0.913,44.0,16.0,,0.575,0.265,0.966,0.736
Sri Lanka,2.98,34.0,9.0,,0.253,0.077,1.07,0.962
Sudafrica,3.882,4.0,1.0,,1.485,2.78,0.991,1.841
Surinam,0.197,55.0,26.0,,0.466,0.334,0.209,0.303
Tamil Nadu,2.401,,,2.0,0.766,1.682,1.47,1.432
Tanzania,3.006,21.0,5.0,,0.344,0.973,1.27,1.208
Tayikistan,0.763,53.0,10.0,,0.22,0.801,0.45,0.481
Trinidad y Tobago,0.632,51.0,23.0,,0.866,0.586,0.24,0.539
Uganda,3.726,12.0,3.0,,0.488,1.684,1.307,1.482
Uruguay,1.161,6.0,3.0,,2.027,2.653,1.503,1.751
Uttar Pradesh,1.368,,,10.0,0.401,1.099,1.164,0.956
Venezuela,0.888,54.0,25.0,,0.19,0.597,0.107,0.323
Vietnam,3.253,13.0,4.0,,0.445,1.87,1.317,1.448
West Bengal,1.941,,,7.0,0.333,0.849,1.311,1.043
Xinjiang,1.299,,,1.0,1.635,2.454,1.601,1.694
Xizang,0.444,,,15.0,1.015,0.954,1.375,1.065
Yunnan,1.299,,,8.0,1.042,2.454,1.337,1.41
Zambia,2.319,31.0,10.0,,0.369,1.34,0.909,1.023
Zimbabue,1.265,43.0,15.0,,0.272,0.967,0.846,0.755
