name:es_aa,name:es_var,type_var,2014
Argentina,Puntaje,score,1.242
Argentina,Marco Propicio,param,1.19
Argentina,Es...Clean energy policies,ind,0.18
Argentina,Es...Power sector structure,ind,0.155
Argentina,Es...Distributed energy regulatory framework,ind,0.0
Argentina,Es...Clean energy rural electrification,ind,0.04
Argentina,Es...Energy access policies,ind,0.0
Argentina,Es...Policy barriers,ind,0.004
Argentina,Es...Clean energy installed capacity,ind,0.004
Argentina,Es...Growth rate of installed capacity,ind,0.0
Argentina,Es...Clean energy electricity generation,ind,0.003
Argentina,Es...Growth rate of electricity generation,ind,0.0
Argentina,Es...Biofuels production,ind,0.032
Argentina,Es...Growth rate biofuels production,ind,0.0
Argentina,Es...Average electricity spot prices,ind,0.027
Argentina,Es...Average retail electricity prices,ind,0.009
Argentina,Es...Average residential electricity prices,ind,0.0
Argentina,Es...Average commercial electricity prices,ind,0.0
Argentina,Es...Average industrial electricity prices,ind,0.0
Argentina,Es...Average kerosene prices,ind,0.0
Argentina,Es...Average diesel prices,ind,0.0
Argentina,Es...Growth rate of power demand,ind,0.011
Argentina,Es...Electrification rate,ind,0.002
Argentina,Es...Population using solid fuels for cooking,ind,0.0
Argentina,Financiamiento y Inversión,param,0.301
Argentina,Es...Clean energy investments,ind,0.006
Argentina,Es...Growth rate of clean energy investments,ind,0.013
Argentina,Es...Asset finance investments,ind,0.0
Argentina,Es...Corporate finance investments,ind,0.0
Argentina,Es...VC/PE investments,ind,0.0
Argentina,"Es...Loans, grants, grant programs",ind,0.002
Argentina,Es...Local investments,ind,0.006
Argentina,Es...Number of Green MFI,ind,0.001
Argentina,Es...Green micro-loans,ind,0.0
Argentina,Es...Green micro-borrowers,ind,0.003
Argentina,Es...Average cost of green micro debt,ind,0.004
Argentina,Es...Average cost of debt,ind,0.032
Argentina,Es...Swap rate,ind,0.024
Argentina,Cadenas de valor,param,2.826
Argentina,Es...Financial institutions in clean energy,ind,0.15
Argentina,Es...Value chains by clean energy sector,ind,0.227
Argentina,Es...Distributed clean energy value chains by sector,ind,0.0
Argentina,Es...Clean energy service providers,ind,0.047
Argentina,Es...Distributed clean energy service providers,ind,0.0
Argentina,Gestión de GEI,param,2.037
Argentina,Es...Carbon offsets historical activity,ind,0.075
Argentina,Es...CDM risk,ind,0.062
Argentina,Es...Carbon offsets future potential,ind,0.022
Argentina,Es...GHG emissions reduction target,ind,0.0
Argentina,Es...GHG country registry,ind,0.0
Argentina,Es...GHG market-based instruments,ind,0.0
Argentina,Es...PMR & NAMA,ind,0.009
Argentina,Es...Voluntary GHG reporting by corporates,ind,0.007
Argentina,Es...Investor pressure – PRI signatories,ind,0.0
Argentina,Es...Corporate energy efficiency initiatives,ind,0.005
Argentina,Es...Corporate emission reduction policies,ind,0.004
Argentina,Es...Capacity building – env. business training,ind,0.038
Argentina,Es...Capacity building – think tanks,ind,0.038
Argentina,Es...Global rank,rank,19.0
Argentina,Es...Regional rank,rank,9.0
Barbados,Puntaje,score,0.786
Barbados,Marco Propicio,param,0.761
Barbados,Es...Clean energy policies,ind,0.072
Barbados,Es...Power sector structure,ind,0.038
Barbados,Es...Distributed energy regulatory framework,ind,0.0
Barbados,Es...Clean energy rural electrification,ind,0.04
