name:es_var,type_var,2014
Puntaje,score,2.17322
Marco Propicio,param,2.13581
Es...Clean energy policies,ind,0.26945
Es...Power sector structure,ind,0.1691
Es...Distributed energy regulatory framework,ind,0.0
Es...Clean energy rural electrification,ind,0.04
Es...Energy access policies,ind,0.0
Es...Policy barriers,ind,0.00212
Es...Clean energy installed capacity,ind,0.03948
Es...Growth rate of installed capacity,ind,0.00024
Es...Clean energy electricity generation,ind,0.01432
Es...Growth rate of electricity generation,ind,0.0
Es...Biofuels production,ind,0.08
Es...Growth rate biofuels production,ind,0.08
Es...Average electricity spot prices,ind,0.1
Es...Average retail electricity prices,ind,0.02255
Es...Average residential electricity prices,ind,0.0
Es...Average commercial electricity prices,ind,0.0
Es...Average industrial electricity prices,ind,0.0
Es...Average kerosene prices,ind,0.0
Es...Average diesel prices,ind,0.0
Es...Growth rate of power demand,ind,0.03544
Es...Electrification rate,ind,0.00162
Es...Population using solid fuels for cooking,ind,0.0
Financiamiento y Inversión,param,0.57404
Es...Clean energy investments,ind,0.04568
Es...Growth rate of clean energy investments,ind,0.01971
Es...Asset finance investments,ind,0.0
Es...Corporate finance investments,ind,0.0
Es...VC/PE investments,ind,0.0
"Es...Loans, grants, grant programs",ind,0.00181
Es...Local investments,ind,0.02415
Es...Number of Green MFI,ind,0.01269
Es...Green micro-loans,ind,1e-05
Es...Green micro-borrowers,ind,1e-05
Es...Average cost of green micro debt,ind,0.0165
Es...Average cost of debt,ind,0.01977
Es...Swap rate,ind,0.03188
Cadenas de valor,param,4.40789
Es...Financial institutions in clean energy,ind,0.1875
Es...Value chains by clean energy sector,ind,0.28618
Es...Distributed clean energy value chains by sector,ind,0.0
Es...Clean energy service providers,ind,0.1875
Es...Distributed clean energy service providers,ind,0.0
Gestión de GEI,param,3.23666
Es...Carbon offsets historical activity,ind,0.075
Es...CDM risk,ind,0.05
Es...Carbon offsets future potential,ind,0.02853
Es...GHG emissions reduction target,ind,0.09375
Es...GHG country registry,ind,0.05625
Es...GHG market-based instruments,ind,0.0
Es...PMR & NAMA,ind,0.02812
Es...Voluntary GHG reporting by corporates,ind,0.01277
Es...Investor pressure – PRI signatories,ind,0.0375
Es...Corporate energy efficiency initiatives,ind,0.01415
Es...Corporate emission reduction policies,ind,0.01443
Es...Capacity building – env. business training,ind,0.0375
Es...Capacity building – think tanks,ind,0.0375
