name:es_var,type_var,2014
Puntaje,score,0.96064
Marco Propicio,param,1.00387
Es...Clean energy policies,ind,0.10345
Es...Power sector structure,ind,0.13508
Es...Distributed energy regulatory framework,ind,0.0
Es...Clean energy rural electrification,ind,0.04
Es...Energy access policies,ind,0.0
Es...Policy barriers,ind,0.00705
Es...Clean energy installed capacity,ind,0.02353
Es...Growth rate of installed capacity,ind,2e-05
Es...Clean energy electricity generation,ind,0.01537
Es...Growth rate of electricity generation,ind,0.00473
Es...Biofuels production,ind,0.0
Es...Growth rate biofuels production,ind,0.0
Es...Average electricity spot prices,ind,0.01554
Es...Average retail electricity prices,ind,0.01516
Es...Average residential electricity prices,ind,0.0
Es...Average commercial electricity prices,ind,0.0
Es...Average industrial electricity prices,ind,0.0
Es...Average kerosene prices,ind,0.0
Es...Average diesel prices,ind,0.0
Es...Growth rate of power demand,ind,0.03987
Es...Electrification rate,ind,0.00174
Es...Population using solid fuels for cooking,ind,0.0
Financiamiento y Inversión,param,0.7102
Es...Clean energy investments,ind,0.00606
Es...Growth rate of clean energy investments,ind,0.04279
Es...Asset finance investments,ind,0.0
Es...Corporate finance investments,ind,0.0
Es...VC/PE investments,ind,0.0
"Es...Loans, grants, grant programs",ind,0.00322
Es...Local investments,ind,0.0092
Es...Number of Green MFI,ind,0.04816
Es...Green micro-loans,ind,0.00032
Es...Green micro-borrowers,ind,0.00091
Es...Average cost of green micro debt,ind,0.00424
Es...Average cost of debt,ind,0.05524
Es...Swap rate,ind,0.04292
Cadenas de valor,param,0.72039
Es...Financial institutions in clean energy,ind,0.0
Es...Value chains by clean energy sector,ind,0.09868
Es...Distributed clean energy value chains by sector,ind,0.0
Es...Clean energy service providers,ind,0.00938
Es...Distributed clean energy service providers,ind,0.0
Gestión de GEI,param,1.58648
Es...Carbon offsets historical activity,ind,0.075
Es...CDM risk,ind,0.0375
Es...Carbon offsets future potential,ind,0.01297
Es...GHG emissions reduction target,ind,0.0
Es...GHG country registry,ind,0.0
Es...GHG market-based instruments,ind,0.0
Es...PMR & NAMA,ind,0.0
Es...Voluntary GHG reporting by corporates,ind,0.0375
Es...Investor pressure – PRI signatories,ind,0.0
Es...Corporate energy efficiency initiatives,ind,0.0
Es...Corporate emission reduction policies,ind,0.0
Es...Capacity building – env. business training,ind,0.0375
Es...Capacity building – think tanks,ind,0.0375
