name:es_aa,Cadenas de valor,Es...Global rank,Es...Regional rank,Financiamiento y Inversión,Gestión de GEI,Marco Propicio,Puntaje
Botsuana,1.099,48.0,19.0,0.302,0.393,0.749,0.614
Camerun,0.915,46.0,17.0,0.447,0.884,0.723,0.693
Costa de Marfil,1.242,47.0,18.0,0.045,0.419,1.06,0.686
Etiopia,2.474,22.0,6.0,0.616,0.966,1.216,1.187
Ghana,2.444,25.0,8.0,0.167,1.743,1.17,1.151
Kenia,3.666,7.0,2.0,0.962,1.731,1.459,1.688
Liberia,1.03,38.0,12.0,0.521,0.183,1.392,0.902
Malaui,1.618,37.0,11.0,0.132,1.015,1.188,0.911
Mozambique,1.66,40.0,13.0,0.312,0.819,0.821,0.794
Nigeria,3.295,20.0,4.0,0.382,0.986,1.171,1.232
RD Congo,1.317,42.0,14.0,0.351,0.905,0.797,0.757
Ruanda,1.855,24.0,7.0,0.434,0.667,1.614,1.154
Senegal,2.158,30.0,9.0,0.723,0.441,1.132,1.06
Sierra Leona,0.913,44.0,16.0,0.575,0.265,0.966,0.736
Sudafrica,3.882,4.0,1.0,1.485,2.78,0.991,1.841
Tanzania,3.006,21.0,5.0,0.344,0.973,1.27,1.208
Uganda,3.726,12.0,3.0,0.488,1.684,1.307,1.482
Zambia,2.319,31.0,10.0,0.369,1.34,0.909,1.023
Zimbabue,1.265,43.0,15.0,0.272,0.967,0.846,0.755
