name:es_aa,Cadenas de valor,Es...Global rank,Es...Regional rank,Es...State rank,Financiamiento y Inversión,Gestión de GEI,Marco Propicio,Puntaje
Andhra Pradesh,2.007,,,6.0,0.696,1.182,1.223,1.176
Banglades,3.211,16.0,6.0,,0.964,0.657,1.209,1.353
Birmania,3.735,32.0,8.0,,0.262,0.711,0.647,1.004
China,5.0,1.0,1.0,,1.292,3.123,1.56,2.23
Fujian,1.941,,,11.0,0.762,1.287,1.353,1.263
Gansu,0.641,,,3.0,2.044,2.204,1.473,1.637
Guangdong,2.428,,,6.0,0.79,2.204,1.387,1.488
Gujarat,2.141,,,3.0,0.749,1.265,1.391,1.292
Hebei,1.678,,,9.0,0.894,1.998,1.427,1.399
Heilongjiang,1.349,,,12.0,0.903,1.704,1.307,1.252
Hubei,1.414,,,14.0,0.883,1.62,1.266,1.226
India,4.099,3.0,2.0,,0.845,2.682,1.434,1.851
Indonesia,4.227,8.0,3.0,,0.442,2.407,1.196,1.606
Jiangsu,2.056,,,4.0,1.143,2.12,1.409,1.536
Jilin,1.036,,,13.0,0.825,2.204,1.277,1.244
Karnataka,1.941,,,1.0,0.954,1.599,1.895,1.575
Madhya Pradesh,0.72,,,9.0,0.816,0.765,1.291,0.984
Maharashtra,2.069,,,4.0,0.656,1.182,1.493,1.286
Nei Mongol,1.359,,,5.0,1.294,2.454,1.317,1.495
Nepal,2.878,18.0,7.0,,0.556,1.265,1.337,1.327
Pakistan,4.289,15.0,5.0,,0.453,0.81,1.211,1.385
Punjab,1.036,,,8.0,0.616,1.349,1.237,1.037
Qinghai,0.905,,,2.0,2.13,1.773,1.546,1.674
Rajasthan,1.033,,,5.0,1.173,1.432,1.347,1.263
Shandong,2.26,,,7.0,0.837,1.704,1.451,1.429
Sichuan,1.819,,,10.0,0.935,2.12,1.258,1.375
Sri Lanka,2.98,34.0,9.0,,0.253,0.077,1.07,0.962
Tamil Nadu,2.401,,,2.0,0.766,1.682,1.47,1.432
Tayikistan,0.763,53.0,10.0,,0.22,0.801,0.45,0.481
Uttar Pradesh,1.368,,,10.0,0.401,1.099,1.164,0.956
Vietnam,3.253,13.0,4.0,,0.445,1.87,1.317,1.448
West Bengal,1.941,,,7.0,0.333,0.849,1.311,1.043
Xinjiang,1.299,,,1.0,1.635,2.454,1.601,1.694
Xizang,0.444,,,15.0,1.015,0.954,1.375,1.065
Yunnan,1.299,,,8.0,1.042,2.454,1.337,1.41
