name:es_aa,Cadenas de valor,Es...Global rank,Es...Regional rank,Financiamiento y Inversión,Gestión de GEI,Marco Propicio,Puntaje
Argentina,2.826,19.0,9.0,0.301,2.037,1.19,1.242
Bahamas,0.576,52.0,24.0,0.64,0.417,0.466,0.527
Barbados,0.885,41.0,19.0,0.88,0.562,0.761,0.786
Belice,0.632,33.0,15.0,0.674,1.053,1.304,0.977
Bolivia,0.826,36.0,17.0,1.097,1.332,0.655,0.915
Brasil,4.158,2.0,1.0,0.577,3.237,2.128,2.133
Chile,3.184,5.0,2.0,0.791,3.479,1.419,1.788
Colombia,1.987,17.0,8.0,0.656,2.95,0.978,1.328
Costa Rica,1.789,11.0,6.0,1.055,2.413,1.378,1.5
Ecuador,0.72,35.0,16.0,0.71,1.586,0.999,0.959
El Salvador,0.836,27.0,12.0,1.124,0.852,1.313,1.117
Guatemala,1.217,29.0,14.0,0.613,1.446,1.384,1.106
Guyana,0.066,49.0,21.0,0.819,0.706,0.597,0.6
Haiti,1.576,45.0,20.0,0.379,0.071,0.908,0.724
Honduras,1.418,26.0,11.0,0.641,1.561,1.264,1.144
Jamaica,1.026,39.0,18.0,0.242,1.176,0.996,0.802
Mexico,2.816,9.0,4.0,1.116,3.024,0.889,1.566
Nicaragua,1.158,14.0,7.0,1.163,1.611,1.556,1.387
Panama,1.02,28.0,13.0,0.891,0.912,1.379,1.112
Paraguay,0.197,50.0,22.0,0.347,1.264,0.668,0.59
Peru,2.046,10.0,5.0,0.883,2.46,1.416,1.508
Republica Dominicana,0.895,23.0,10.0,0.308,2.117,1.534,1.158
Surinam,0.197,55.0,26.0,0.466,0.334,0.209,0.303
Trinidad y Tobago,0.632,51.0,23.0,0.866,0.586,0.24,0.539
Uruguay,1.161,6.0,3.0,2.027,2.653,1.503,1.751
Venezuela,0.888,54.0,25.0,0.19,0.597,0.107,0.323
