2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,sector,unit
8462506.789,8871542.652,8980754.292,8744218.809,8813663.833,9084736.383,9401150.333,9145418.454,8872236.88,9622039.563,Coal,GWh
5163317.902,5044787.306,5140636.564,5466212.868,5664158.467,5725520.899,5930286.411,6130918.052,6084858.903,6242540.244,Natural Gas,GWh
3625228.013,3741073.87,3838785.697,3850579.11,3989182.955,4025411.733,4129552.316,4230468.962,4319819.503,4290222.101,Hydro,GWh
2413968.728,2430184.559,2478849.975,2515122.508,2560312.117,2581459.404,2651300.812,2733143.671,2639081.141,2736400.709,Nuclear,GWh
526067.4314,631228.7868,702374.4898,820551.1682,957210.5158,1134098.49,1163742.73,1433381.647,1603106.676,1864036.247,Wind,GWh
97345.92,133119.8267,189406.3503,250634.198,328412.1714,446453.678,583346.0061,709371.8586,857453.1111,1000406.098,Solar,GWh
923995.7027,843884.5447,848633.106,815137.7313,805883.3581,759443.8071,694722.46,645317.9594,617897.833,645686.0958,Oil & Diesel,GWh
364032.4625,400858.5072,438251.2854,470101.7549,500109.4994,515137.9785,546367.2124,547879.8872,573895.9474,604730.5358,Biomass & Waste,GWh
128710.8193,137379.2714,129689.2319,139996.6612,149860.6851,157412.4541,150333.4208,151329.6951,145604.8507,132868.1889,Other - fossil,GWh
67404.4448,68850.4029,73458.0265,77889.6435,79625.4104,82150.3805,85903.7824,87786.7261,91428.8541,91567.1141,Geothermal,GWh
11737.4609,11093.1074,12112.1147,12282.0704,7765.3742,20067.6221,22331.1734,25232.1806,29138.0524,40225.2009,Other - non-fossil,GWh
