2015,2016,2017,2018,2019,2020,2021,2022,ev_share_of_annual_sales_(%),iso,unit
0.0056,0.0124,0.0214,0.0448,0.0507,0.0596,0.1471,0.2549,Mainland China,CN,% of total passenger vehicle sales
0.0069,0.0095,0.012,0.0214,0.0199,0.0237,0.0469,0.0798,US,US,% of total passenger vehicle sales
0.0039,0.0061,0.0091,0.0223,0.0199,0.038,0.0539,0.073,Canada,CA,% of total passenger vehicle sales
0.0055,0.005,0.0111,0.0104,0.0082,0.0081,0.0122,0.0201,Japan,JP,% of total passenger vehicle sales
0.007,0.0075,0.0145,0.0189,0.0307,0.147,0.2634,0.2877,Germany,DE,% of total passenger vehicle sales
0.0105,0.0144,0.019,0.0258,0.0318,0.1115,0.2146,0.2367,UK,GB,% of total passenger vehicle sales
0.0135,0.0166,0.0192,0.0234,0.031,0.1171,0.1874,0.2251,France,FR,% of total passenger vehicle sales
0.0014,0.0016,0.0023,0.0056,0.0079,0.0484,0.1016,0.1264,Italy,IT,% of total passenger vehicle sales
0.0213,0.0214,0.0245,0.0341,0.0479,0.1307,0.2003,0.2415,Rest of Europe,,% of total passenger vehicle sales
0.0002,0.0004,0.0006,0.0009,0.0012,0.0018,0.0055,0.0075,India,IN,% of total passenger vehicle sales
0.002,0.0037,0.0088,0.0205,0.0232,0.0345,0.0777,0.1216,South Korea,KR,% of total passenger vehicle sales
0.0012,0.001,0.0022,0.0021,0.0068,0.0082,0.0216,0.0363,Australia,AU,% of total passenger vehicle sales
0.001,0.0018,0.0034,0.0056,0.005,0.0067,0.0063,0.0095,Southeast Asia,,% of total passenger vehicle sales
0.0001,0.0001,0.0002,0.0007,0.003,0.0039,0.0046,0.0073,Rest of world,,% of total passenger vehicle sales
0.0128,0.014,0.0179,0.0245,0.0344,0.1207,0.2023,0.2349,Europe,,% of total passenger vehicle sales
0.0057,0.0085,0.0126,0.0225,0.0255,0.0441,0.0872,0.1334,Global,,% of total passenger vehicle sales
