id,title,visual,description
1,Total energy investment during the last 5 years in billion USD and how it relates to Climatescope's energy fundamentals score,Scatterplot with all countries in one color,"Difficulty in diversifying investment across emerging markets is directly linked to the absence of environments conducive to attracting such investments. Having effective policies and a mature, transparent power market that is open to private players, for example, renders a market more attractive to clean energy investment."
2,US and China,Scatterplot with all countries greyed out except the US and China,The US and mainland China represent respectively 9% and 52% of all renewable energy investment in 2022. The two economies are also home to half of the global solar capacity added in 2022.
3,Emerging vs. developed markets,Color emerging markets in purple and developed markets in blue,"Over the past five years, the majority of clean energy investment was directed to developed markets, while only 29 developing countries (excluding mainland China) attracted more than $2 billion each."
4,Emerging markets,"Highlight only emerging markets, fade out developed markets",The 15 emerging markets that finished at the top of the Climatescope scoring table have received an average of $34 billion in cumulative investment over the last five years.
5,15 lowest ranking markets,"Zoom into and Highlight the 15 markets with the lowest CS scores, grey out the other ones","The 15 markets that finished at the bottom of the ranking attracted just $291 million on average in 2022. In particular, these markets’ low policy scores reveal the key role policies play in mobilizing clean energy asset finance."
6,Lowest ranked African markets,"Highlight the 11 lowest ranking African markets, grey out the other 4 markets","Out of the 15 lowest scores in the Fundamentals parameter, 11 are assigned to markets in Africa, as many of these have yet to implement the necessary policies that would propel their power sectors toward a cleaner and more sustainable future. Among regions, Africa has the lowest adoption of renewable energy policies, and only 24% of its markets have at least three mechanisms in force."
7,Back to overview of emerging markets,Go back to full scatter plot with only the emerging markets,
8,,,
9,Renewable energy targets (2021 vs 2023),Fade out scatter plot and animate the bars showing renewable energy targets from 2021-2023,"The last decade was marked by notable surges in climate ambitions, with markets consistently improving their renewable energy targets and pledging to accelerate carbon emission reductions. In 2023, 93% of the emerging markets covered by Climatescope have renewable energy targets in place. Yet only 40% of these are on track to hit their targets’ half-way marks, even though most of these goals are set to come due in 2030. "
10,Auctions (2021 vs 2023),Move first bar chart (renewable energy targets) to the left and add a second bar chart for auctions next to the renewable energy targets one,"Reverse auctions for clean power delivery contracts have proved to be one of the most effective policies for spurring renewable energy build. As of 2023, 63 of the 110 emerging markets surveyed in this report have auction mechanisms in force"
11,Feed-in tarrifs (2021 vs 2023),Add a third bar chart for auctions,"Feed-in tariffs are the only type of policy losing ground. In 2023, they are available in just 28%, or 32, of the emerging markets surveyed, compared with 30% in 2022. Twenty markets have both feed-in tariffs and auctions. "
12,Net-metering (2021 vs 2023),Add a fourth bar chart for auctions,"Net metering is now present in 59% of emerging markets, compared with 49% in 2021. This growth pattern is helping distributed solar spread to more markets."
